idx    n   cost  hpwl  area  vrel  bnd  grp mib feas    sec
  6   27   1.50  0.22  0.21  0.11    3    0   0    Y   3.80
  5   26   1.31  0.20  0.20  0.04    1    0   0    Y   3.80
  4   25   1.46  0.28  0.11  0.10    3    0   0    Y   3.80
  3   24   1.50 -0.03  0.21  0.15    4    0   0    Y   3.80
  2   23   1.32  0.18  0.27  0.04    1    0   0    Y   3.81
  1   22   1.60  0.22  0.16  0.15    4    0   0    Y   3.80
  0   21   1.34  0.14  0.32  0.04    1    0   0    Y   4.08

Feasible: 100/100   viol totals: boundary=582 grouping=66 mib=0   avg 11.22s/case
Weighted total score (this subset): 2.0473
